"","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region","index"
"157","Indiana","IN-08",8,9.56708,"Rural-Exurban",0,0,752244,0.498,61601,82509,39.8,0.191958992,0.151,0.019,"Midwest",23
"158","Indiana","IN-07",7,12.2291,"Dense Suburban",1,1,747577,0.518,59595,86131,34.4,0.132387701,0.232,0.037,"Midwest",23
"159","Indiana","IN-01",1,11.26531,"Suburban-Exurban",1,1,755538,0.505,69580,92452,39.9,0.179397992,0.186,0.029,"Midwest",23
"160","Iowa","IA-03",3,10.54495,"Suburban-Exurban",1,0,814070,0.501,74960,104117,37.6,0.160299483,0.253,0.02,"Midwest",38
"161","Iowa","IA-01",1,9.65413,"Rural-Exurban",0,0,798442,0.499,67381,87516,39,0.183372117,0.211,0.018,"Midwest",38
"162","Iowa","IA-02",2,9.73029,"Rural-Exurban",0,0,793421,0.5,67862,91117,40.2,0.198049963,0.204,0.02,"Midwest",38
"163","Iowa","IA-04",4,9.20412,"Mostly Rural",0,0,794584,0.492,68755,88720,39,0.194862972,0.19,0.02,"Midwest",38
"164","Kansas","KS-02",2,9.77136,"Rural-Exurban",0,0,730784,0.496,60983,80182,37.7,0.174475632,0.169,0.025,"Midwest",33
"165","Kansas","KS-01",1,8.97284,"Mostly Rural",0,0,727503,0.493,60646,77866,36,0.178764899,0.188,0.019,"Midwest",33
"166","Kansas","KS-04",4,10.60621,"Suburban-Exurban",0,0,737034,0.501,65593,85966,37.4,0.169808991,0.202,0.03,"Midwest",33
"167","Kansas","KS-03",3,11.52846,"Dense Suburban",1,1,741829,0.503,91626,126418,39,0.166657006,0.312,0.02,"Midwest",33
"168","Kentucky","KY-01",1,8.87433,"Mostly Rural",0,0,757381,0.506,54615,74436,40,0.189415895,0.123,0.025,"South",24
"169","Kentucky","KY-02",2,9.56108,"Rural-Exurban",0,0,756377,0.503,61768,86840,39.6,0.171492523,0.144,0.022,"South",24
"170","Kentucky","KY-05",5,8.76626,"Mostly Rural",0,0,739149,0.499,42736,65175,41.9,0.188090629,0.089,0.02,"South",24
"171","Kentucky","KY-06",6,10.63682,"Suburban-Exurban",0,0,754485,0.508,62298,88251,37.4,0.162945585,0.215,0.032,"South",24
"172","Kentucky","KY-04",4,10.35224,"Rural-Exurban",0,0,762092,0.502,75907,101293,39.5,0.166302756,0.203,0.022,"South",24
"173","Kentucky","KY-03",3,12.09429,"Dense Suburban",1,1,742826,0.513,63327,94222,38.3,0.173977486,0.214,0.033,"South",24
"174","Louisiana","LA-02",2,11.77477,"Dense Suburban",1,1,727277,0.519,48015,76074,39,0.166924019,0.16,0.041,"South",30
"175","Louisiana","LA-03",3,10.18615,"Rural-Exurban",0,0,760945,0.509,53406,83247,38,0.162249571,0.166,0.029,"South",30
"176","Louisiana","LA-04",4,9.45829,"Mostly Rural",0,0,761461,0.511,48618,70897,38.5,0.176946685,0.132,0.033,"South",30
"177","Louisiana","LA-06",6,10.79623,"Suburban-Exurban",0,0,796937,0.513,70632,96885,35.9,0.15388042,0.202,0.03,"South",30
"178","Louisiana","LA-05",5,9.05237,"Mostly Rural",0,0,767855,0.502,46162,70807,37.7,0.174527743,0.136,0.033,"South",30
"179","Louisiana","LA-01",1,10.95037,"Suburban-Exurban",0,0,775766,0.509,69732,99302,39.8,0.18538451,0.217,0.026,"South",30
"180","Maine","ME-01",1,9.89315,"Rural-Exurban",1,1,697698,0.51,80938,107030,44.3,0.220377585,0.27,0.018,"Northeast",42
"181","Maine","ME-02",2,8.55475,"Mostly Rural",1,1,687642,0.501,59676,81913,46,0.231422746,0.175,0.022,"Northeast",42
"182","Maryland","MD-02",2,11.81179,"Dense Suburban",1,1,772153,0.524,92468,124196,40.5,0.183183903,0.262,0.025,"South",9
