"","stcd","state_code","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"169","PA-17","PA",17,11.57211,"Dense Suburban",0,0,752331,0.514,77014,114996,43.7,0.216759644,0.266,0.023
"170","FL-07","FL",7,11.56998,"Dense Suburban",0,1,788222,0.509,75437,103461,42.3,0.20143183,0.223,0.022
"171","NJ-03","NJ",3,11.55043,"Dense Suburban",0,0,773328,0.508,106253,143021,43,0.191393561,0.281,0.024
"172","CA-41","CA",41,11.54949,"Dense Suburban",0,1,797316,0.49,95306,123567,40.1,0.186320104,0.203,0.031
"173","OK-01","OK",1,11.53769,"Dense Suburban",1,1,807958,0.508,64465,89759,36.7,0.157598539,0.216,0.024
"174","KS-03","KS",3,11.52846,"Dense Suburban",0,0,741829,0.503,91626,126418,39,0.166657006,0.312,0.02
"175","RI-02","RI",2,11.521,"Dense Suburban",0,0,550545,0.506,84751,114867,41.2,0.189850058,0.24,0.029
"176","FL-05","FL",5,11.5198,"Dense Suburban",0,1,801685,0.509,84630,115644,39.3,0.174161921,0.303,0.019
"177","MI-06","MI",6,11.5115,"Dense Suburban",1,0,765213,0.503,88275,120504,38.8,0.171143198,0.276,0.022
"178","MA-03","MA",3,11.50051,"Dense Suburban",0,0,781020,0.507,91476,129462,39.5,0.157051036,0.222,0.028
"179","FL-09","FL",9,11.49649,"Suburban-Exurban",0,0,821662,0.5,69493,95156,38.5,0.14254158,0.239,0.023
"180","CO-07","CO",7,11.49257,"Suburban-Exurban",0,0,724362,0.488,97203,125098,41.7,0.189617898,0.311,0.019
"181","GA-11","GA",11,11.4803,"Suburban-Exurban",1,1,786646,0.514,90472,115456,37.6,0.145182204,0.282,0.022
"182","OH-10","OH",10,11.47421,"Suburban-Exurban",1,1,782035,0.511,64173,87361,39.4,0.189919888,0.182,0.03
"183","NY-17","NY",17,11.44308,"Suburban-Exurban",0,1,771464,0.5,115661,172012,40.2,0.17825848,0.273,0.03
"184","PA-07","PA",7,11.4384,"Suburban-Exurban",0,0,774340,0.504,72660,103346,40.9,0.189835215,0.195,0.029
"185","NM-01","NM",1,11.43298,"Suburban-Exurban",0,0,713527,0.504,66579,91517,40.6,0.198799765,0.214,0.023
"186","FL-19","FL",19,11.42951,"Suburban-Exurban",1,1,802244,0.51,76223,109733,54.6,0.348039998,0.23,0.018
"187","MO-02","MO",2,11.42386,"Suburban-Exurban",1,1,778625,0.51,96915,133197,41.8,0.198005458,0.29,0.018
"188","CA-19","CA",19,11.39059,"Suburban-Exurban",0,0,745616,0.502,118453,175344,41.4,0.202086597,0.279,0.024
"189","CA-48","CA",48,11.38078,"Suburban-Exurban",1,1,766556,0.5,105095,123665,38.7,0.173545051,0.22,0.025
"190","OH-15","OH",15,11.37228,"Suburban-Exurban",1,1,785817,0.497,71285,96379,36.9,0.148911261,0.21,0.023
"191","TX-26","TX",26,11.37112,"Suburban-Exurban",1,1,835578,0.501,105363,134953,37.9,0.120614712,0.308,0.025
"192","OH-07","OH",7,11.35736,"Suburban-Exurban",1,1,774125,0.509,81160,107914,42.9,0.207639593,0.234,0.017
"193","PA-06","PA",6,11.35723,"Suburban-Exurban",0,0,771296,0.504,98751,138258,39.9,0.174900427,0.293,0.026
"194","VA-10","VA",10,11.35405,"Suburban-Exurban",0,0,805988,0.494,152685,176922,38,0.11976481,0.319,0.019
"195","VA-04","VA",4,11.34923,"Suburban-Exurban",0,0,790811,0.516,66086,88658,37.2,0.159907993,0.206,0.034
"196","FL-21","FL",21,11.32203,"Suburban-Exurban",0,1,807943,0.503,76355,112956,48,0.269849482,0.229,0.024
"197","TX-22","TX",22,11.31486,"Suburban-Exurban",1,1,843195,0.498,100510,128070,37.3,0.125390924,0.296,0.026
"198","IL-02","IL",2,11.29298,"Suburban-Exurban",0,0,730809,0.523,57780,81581,39.5,0.180168827,0.14,0.053
"199","VA-02","VA",2,11.28275,"Suburban-Exurban",0,1,780161,0.504,83535,104065,39.3,0.169855966,0.225,0.021
"200","NY-20","NY",20,11.2734,"Suburban-Exurban",0,0,781546,0.508,79758,111011,40.3,0.186911583,0.232,0.032
"201","IN-01","IN",1,11.26531,"Suburban-Exurban",0,0,755538,0.505,69580,92452,39.9,0.179397992,0.186,0.029
"202","NJ-07","NJ",7,11.26173,"Suburban-Exurban",0,1,775400,0.508,131419,184568,44.1,0.187823059,0.326,0.029
"203","PA-10","PA",10,11.25456,"Suburban-Exurban",1,1,779565,0.507,75032,99193,39.6,0.18180652,0.207,0.023
"204","UT-03","UT",3,11.24393,"Suburban-Exurban",1,1,806633,0.498,87193,114753,30.8,0.126613962,0.294,0.018
"205","OH-08","OH",8,11.23309,"Suburban-Exurban",1,1,781678,0.504,72748,95642,39,0.181945763,0.193,0.022
"206","MN-02","MN",2,11.22782,"Suburban-Exurban",0,0,724575,0.502,101144,127199,38.5,0.152976572,0.298,0.021
"207","CT-05","CT",5,11.2163,"Suburban-Exurban",0,0,734438,0.514,87715,121720,40.8,0.180404609,0.227,0.032
"208","IL-14","IL",14,11.21229,"Suburban-Exurban",0,0,756472,0.494,86174,109503,36.6,0.134297106,0.201,0.025
"209","SC-04","SC",4,11.18361,"Suburban-Exurban",1,1,754482,0.513,64879,94088,38.4,0.168648159,0.227,0.028
"210","AZ-07","AZ",7,11.1681,"Suburban-Exurban",0,0,815141,0.499,52555,70987,34,0.146083929,0.138,0.031
"211","FL-04","FL",4,11.16743,"Suburban-Exurban",1,1,801792,0.515,70226,87260,38.2,0.163786867,0.175,0.028
