"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"FL-14","FL","Florida",14,12.15817,"Dense Suburban","DEM","DEM",782155,0.505,70955,113446,39,0.165459532,0.26,0.028,NA
"PA-12","PA","Pennsylvania",12,12.1425,"Dense Suburban","REP","DEM",758799,0.507,68078,97284,39.7,0.202726941,0.241,0.03,"Northeast"
"GA-04","GA","Georgia",4,12.11052,"Dense Suburban","DEM","DEM",781395,0.525,73742,107398,36.6,0.137351788,0.229,0.034,"South"
"AZ-05","AZ","Arizona",5,12.09759,"Dense Suburban","REP","REP",835596,0.503,101489,133517,38.3,0.165972551,0.257,0.018,"South"
"KY-03","KY","Kentucky",3,12.09429,"Dense Suburban","DEM","DEM",742826,0.513,63327,94222,38.3,0.173977486,0.214,0.033,"South"
"NV-04","NV","Nevada",4,12.07472,"Dense Suburban","DEM","DEM",821679,0.497,70338,90471,36.9,0.153144963,0.143,0.037,"West"
"AZ-01","AZ","Arizona",1,12.05529,"Dense Suburban","DEM","REP",799436,0.507,91562,142247,43.9,0.210979991,0.323,0.021,"South"
"VA-03","VA","Virginia",3,12.041,"Dense Suburban","DEM","DEM",781088,0.51,63075,80940,34.5,0.142555,0.17,0.039,"South"
"RI-01","RI","Rhode Island",1,12.00113,"Dense Suburban","DEM","DEM",543189,0.514,78966,110258,39.9,0.187036188,0.238,0.029,NA
"CA-10","CA","California",10,11.99965,"Dense Suburban","DEM","DEM",754064,0.504,143122,197073,41.4,0.171409854,0.319,0.026,"West"
"FL-28","FL","Florida",28,11.99153,"Dense Suburban","new_seat","REP",740547,0.503,73429,95459,41.4,0.174433223,0.198,0.017,NA
"TX-16","TX","Texas",16,11.98973,"Dense Suburban","DEM","DEM",773386,0.505,53477,75234,33.6,0.132839229,0.177,0.035,"South"
"NJ-12","NJ","New Jersey",12,11.95689,"Dense Suburban","DEM","DEM",767218,0.508,109146,148551,40.9,0.165942405,0.267,0.037,"Northeast"
"NE-02","NE","Nebraska",2,11.95222,"Dense Suburban","REP","REP",658116,0.5,77535,110786,35.9,0.141046563,0.264,0.019,"Midwest"
"TX-35","TX","Texas",35,11.94555,"Dense Suburban","DEM","DEM",802077,0.496,71075,88525,33.2,0.092351482,0.231,0.031,"South"
"OH-01","OH","Ohio",1,11.9257,"Dense Suburban","REP","DEM",790801,0.511,74773,115110,37.2,0.156945932,0.263,0.021,"Midwest"
"NC-14","NC","North Carolina",14,11.90635,"Dense Suburban","new_seat","DEM",766123,0.516,81717,127063,36.8,0.134105098,0.33,0.022,"South"
"CA-08","CA","California",8,11.90436,"Dense Suburban","REP","DEM",748189,0.511,91501,120329,38.7,0.166381756,0.2,0.039,"West"
"MN-03","MN","Minnesota",3,11.89663,"Dense Suburban","DEM","DEM",700754,0.504,100867,142010,41.4,0.185129161,0.329,0.021,"Midwest"
"MO-05","MO","Missouri",5,11.89316,"Dense Suburban","DEM","DEM",773627,0.513,61184,86890,37.1,0.163878717,0.222,0.023,"Midwest"
"CT-04","CT","Connecticut",4,11.88718,"Dense Suburban","DEM","DEM",710465,0.507,106972,190234,41.1,0.170174463,0.281,0.034,"Northeast"
"CA-49","CA","California",49,11.85506,"Dense Suburban","DEM","DEM",752364,0.488,109380,150874,40,0.179736138,0.306,0.026,"West"
"PA-04","PA","Pennsylvania",4,11.84089,"Dense Suburban","DEM","DEM",780519,0.508,103922,142093,42.1,0.197874747,0.274,0.021,"Northeast"
"NY-01","NY","New York",1,11.83754,"Dense Suburban","REP","REP",775158,0.509,126171,166414,44,0.20377652,0.245,0.024,"Northeast"
"MA-06","MA","Massachusetts",6,11.83451,"Dense Suburban","DEM","DEM",771813,0.511,106226,149868,43.2,0.201604534,0.279,0.021,"Northeast"
"NC-02","NC","North Carolina",2,11.81898,"Dense Suburban","REP","DEM",779106,0.508,96138,133177,36.8,0.127126476,0.368,0.016,"South"
"MD-02","MD","Maryland",2,11.81179,"Dense Suburban","DEM","DEM",772153,0.524,92468,124196,40.5,0.183183903,0.262,0.025,"South"
"MD-03","MD","Maryland",3,11.8092,"Dense Suburban","DEM","DEM",777611,0.508,119418,154016,40.2,0.1614239,0.29,0.019,"South"
"NY-25","NY","New York",25,11.80862,"Dense Suburban","DEM","DEM",768169,0.514,67775,96132,39.7,0.190499747,0.215,0.029,"Northeast"
"CT-03","CT","Connecticut",3,11.80288,"Dense Suburban","DEM","DEM",735042,0.511,86205,120600,39.9,0.179546203,0.2,0.028,"Northeast"
"TN-09","TN","Tennessee",9,11.79929,"Dense Suburban","DEM","DEM",756975,0.525,53183,75182,34.8,0.142098484,0.179,0.037,NA
"NC-12","NC","North Carolina",12,11.79664,"Dense Suburban","DEM","DEM",770376,0.513,73841,107655,35.8,0.123180109,0.282,0.024,"South"
"MA-04","MA","Massachusetts",4,11.77869,"Dense Suburban","DEM","DEM",782122,0.515,110374,165007,40.3,0.166950936,0.255,0.03,"Northeast"
"LA-02","LA","Louisiana",2,11.77477,"Dense Suburban","DEM","",727277,0.519,48015,76074,39,0.166924019,0.16,0.041,"South"
"CO-08","CO","Colorado",8,11.73294,"Dense Suburban","new_seat","DEM",737452,0.495,92047,114194,35.4,0.121652663,0.198,0.026,"West"
"CA-21","CA","California",21,11.73072,"Dense Suburban","REP","DEM",748904,0.494,61213,82126,32,0.112003675,0.121,0.051,"West"
"CT-01","CT","Connecticut",1,11.72734,"Dense Suburban","DEM","DEM",718849,0.516,80371,111086,40.2,0.18023674,0.22,0.034,"Northeast"
"WA-10","WA","Washington",10,11.72351,"Dense Suburban","DEM","DEM",788452,0.498,88325,106415,36.5,0.154979631,0.188,0.026,"West"
"PA-01","PA","Pennsylvania",1,11.71746,"Dense Suburban","REP","REP",760257,0.503,104881,143185,44.2,0.206389418,0.254,0.021,"Northeast"
"IL-10","IL","Illinois",10,11.70691,"Dense Suburban","DEM","DEM",744016,0.496,98057,145104,40.2,0.168745027,0.259,0.02,"Midwest"
"FL-15","FL","Florida",15,11.70438,"Dense Suburban","REP","REP",817831,0.503,67704,96929,38.9,0.166025744,0.213,0.028,NA
"UT-04","UT","Utah",4,11.70206,"Dense Suburban","REP","REP",874074,0.488,100006,114708,31.5,0.09894128,0.236,0.021,"West"
"CA-27","CA","California",27,11.69082,"Dense Suburban","DEM","REP",737592,0.504,98123,126171,37.9,0.139512088,0.195,0.038,"West"
"NJ-04","NJ","New Jersey",4,11.69053,"Dense Suburban","REP","REP",786940,0.514,90090,130419,41.6,0.216282055,0.26,0.027,"Northeast"
"GA-13","GA","Georgia",13,11.68632,"Dense Suburban","DEM","DEM",767394,0.531,71993,89033,36.4,0.115705883,0.193,0.033,"South"
"CA-26","CA","California",26,11.6762,"Dense Suburban","DEM","DEM",758064,0.506,107265,147543,39.4,0.170844414,0.238,0.028,"West"
"CA-18","CA","California",18,11.6734,"Dense Suburban","DEM","DEM",734686,0.482,96509,125896,34.5,0.122027642,0.169,0.029,"West"
"TX-12","TX","Texas",12,11.67191,"Dense Suburban","REP","REP",803772,0.502,78999,106993,36.5,0.142223168,0.229,0.025,"South"
"GA-06","GA","Georgia",6,11.6706,"Dense Suburban","DEM","REP",790519,0.504,123105,159602,40.2,0.150852794,0.359,0.019,"South"
"TX-02","TX","Texas",2,11.66319,"Dense Suburban","REP","REP",817455,0.503,92141,123059,36.2,0.125089454,0.268,0.034,"South"
"CA-09","CA","California",9,11.65593,"Dense Suburban","DEM","DEM",769426,0.498,86062,112256,35.4,0.137290656,0.156,0.041,"West"
"OH-13","OH","Ohio",13,11.65369,"Dense Suburban","DEM","DEM",778868,0.513,65001,90261,41.7,0.201669603,0.214,0.022,"Midwest"
"CO-05","CO","Colorado",5,11.6376,"Dense Suburban","REP","REP",732858,0.488,82432,101822,35.1,0.139591845,0.258,0.026,"West"
"OR-01","OR","Oregon",1,11.6196,"Dense Suburban","DEM","DEM",714598,0.501,89182,123435,38.3,0.159412705,0.265,0.024,"West"
"IL-11","IL","Illinois",11,11.60326,"Dense Suburban","DEM","DEM",766225,0.505,99802,133296,40.1,0.160294953,0.276,0.029,"Midwest"
"MI-03","MI","Michigan",3,11.59025,"Dense Suburban","IND","DEM",781426,0.503,72574,98781,35.9,0.155383875,0.25,0.023,"Midwest"
"FL-16","FL","Florida",16,11.5819,"Dense Suburban","REP","REP",824961,0.519,79125,103570,43.4,0.229684797,0.225,0.021,NA
"TX-03","TX","Texas",3,11.57905,"Dense Suburban","REP","REP",846385,0.507,114577,143551,37.8,0.124013304,0.316,0.024,"South"
"PA-17","PA","Pennsylvania",17,11.57211,"Dense Suburban","DEM","DEM",752331,0.514,77014,114996,43.7,0.216759644,0.266,0.023,"Northeast"
"FL-07","FL","Florida",7,11.56998,"Dense Suburban","DEM","REP",788222,0.509,75437,103461,42.3,0.20143183,0.223,0.022,NA
"NJ-03","NJ","New Jersey",3,11.55043,"Dense Suburban","DEM","DEM",773328,0.508,106253,143021,43,0.191393561,0.281,0.024,"Northeast"
"CA-41","CA","California",41,11.54949,"Dense Suburban","DEM","REP",797316,0.49,95306,123567,40.1,0.186320104,0.203,0.031,"West"
"OK-01","OK","Oklahoma",1,11.53769,"Dense Suburban","REP","REP",807958,0.508,64465,89759,36.7,0.157598539,0.216,0.024,"South"
"KS-03","KS","Kansas",3,11.52846,"Dense Suburban","DEM","DEM",741829,0.503,91626,126418,39,0.166657006,0.312,0.02,"Midwest"
"RI-02","RI","Rhode Island",2,11.521,"Dense Suburban","DEM","DEM",550545,0.506,84751,114867,41.2,0.189850058,0.24,0.029,NA
"FL-05","FL","Florida",5,11.5198,"Dense Suburban","DEM","REP",801685,0.509,84630,115644,39.3,0.174161921,0.303,0.019,NA
"MI-06","MI","Michigan",6,11.5115,"Dense Suburban","REP","DEM",765213,0.503,88275,120504,38.8,0.171143198,0.276,0.022,"Midwest"
